0;Arenda;1000;qwer;asdf
1;Zetta;999;ravert;meet
2;Roberta;998;crty;seek
3;Nert;997;verty;apple
4;Assa;996;get;frut
5;Lizza;995;paste;dert
6;Zetta;994;ravert;meet
7;Roberta;993;crty;seek
8;Nert;992;verty;apple
9;Assa;991;get;frut
10;Lizza;990;paste;dert
11;Zetta;989;ravert;meet
12;Roberta;988;crty;seek
1;Nert;987;verty;apple
14;Assa;986;get;frut
15;Lizza;985;paste;dert
16;Zetta;984;ravert;meet
1;Roberta;983;crty;seek
1;Nert;982;verty;apple
1;Assa;981;get;frut
1;Lizza;980;paste;dert
21;Zetta;979;ravert;meet
22;Roberta;978;crty;seek
23;Nert;977;verty;apple
24;Assa;976;get;frut
25;Lizza;975;paste;dert
26;Zetta;974;ravert;meet
27;Roberta;973;crty;seek
28;Nert;972;verty;apple
29;Assa;971;get;frut
30;Lizza;970;paste;dert
31;Zetta;969;ravert;meet
32;Roberta;968;crty;seek
33;Nert;967;verty;apple
34;Assa;966;get;frut
49;Assa;965;get;frut
50;Lizza;964;paste;dert
51;Zetta;963;ravert;meet
52;Roberta;962;crty;seek
53;Nert;961;verty;apple
54;Assa;960;get;frut
55;Lizza;959;paste;dert
56;Zetta;958;ravert;meet
57;Roberta;957;crty;seek
58;Nert;956;verty;apple
59;Assa;955;get;frut
60;Lizza;954;paste;dert
61;Zetta;953;ravert;meet
62;Roberta;952;crty;seek
63;Nert;951;verty;apple
64;Assa;950;get;frut
65;Lizza;949;paste;dert
66;Zetta;948;ravert;meet
67;Roberta;947;crty;seek
68;Nert;946;verty;apple
69;Assa;945;get;frut
70;Lizza;944;paste;dert
71;Zetta;943;ravert;meet
72;Roberta;942;crty;seek
73;Nert;941;verty;apple
74;Assa;940;get;frut
75;Lizza;939;paste;dert
76;Zetta;938;ravert;meet
77;Roberta;937;crty;seek
78;Nert;936;verty;apple
79;Assa;935;get;frut
80;Lizza;934;paste;dert
81;Zetta;933;ravert;meet
82;Roberta;932;crty;seek
83;Nert;931;verty;apple
84;Assa;930;get;frut
